"path","reason","suggestion"
"runtime-canvas/src/edit/runtime-descriptor-edit-workspace.tsx","React component files in strict mode should be PascalCase","RuntimeDescriptorEditWorkspace.tsx"
"runtime-canvas/src/edit/runtime-edit-form-actions.tsx","React component files in strict mode should be PascalCase","RuntimeEditFormActions.tsx"
"runtime-canvas/src/edit/runtime-edit-form.tsx","React component files in strict mode should be PascalCase","RuntimeEditForm.tsx"
"runtime-canvas/src/edit/runtime-field-set.tsx","React component files in strict mode should be PascalCase","RuntimeFieldSet.tsx"
"runtime-canvas/src/edit/source-change-candidates.test.ts","TypeScript source filenames should be kebab-case","source-change-candidates.test.ts"
"runtime-canvas/src/edit/submit-preflight-panel.tsx","React component files in strict mode should be PascalCase","SubmitPreflightPanel.tsx"
"runtime-canvas/src/fields/fx-exchange-rate-field.tsx","React component files in strict mode should be PascalCase","FxExchangeRateField.tsx"
"runtime-canvas/src/fields/registry.tsx","React component files in strict mode should be PascalCase","Registry.tsx"
"runtime-canvas/src/fields/runtime-field-value-view.tsx","React component files in strict mode should be PascalCase","RuntimeFieldValueView.tsx"
"runtime-canvas/src/list/runtime-list-page.tsx","React component files in strict mode should be PascalCase","RuntimeListPage.tsx"
"runtime-canvas/src/panels/buildContextDrawerEntity.ts","TypeScript source filenames should be kebab-case","build-context-drawer-entity.ts"
"runtime-canvas/src/panels/buildPrintPreviewEntity.ts","TypeScript source filenames should be kebab-case","build-print-preview-entity.ts"
"runtime-canvas/src/panels/useContextDrawer.ts","TypeScript source filenames should be kebab-case","use-context-drawer.ts"
"runtime-canvas/src/panels/usePrintPreview.ts","TypeScript source filenames should be kebab-case","use-print-preview.ts"
"runtime-canvas/src/process/runtime-process-surface.test.ts","TypeScript source filenames should be kebab-case","runtime-process-surface.test.ts"
"runtime-canvas/src/process/runtime-process-surface.tsx","React component files in strict mode should be PascalCase","RuntimeProcessSurface.tsx"
"runtime-canvas/src/process/snapshot-compare-drawer.tsx","React component files in strict mode should be PascalCase","SnapshotCompareDrawer.tsx"
"runtime-canvas/src/process/snapshot-detail-drawer.tsx","React component files in strict mode should be PascalCase","SnapshotDetailDrawer.tsx"
"runtime-canvas/src/record/document-object-page-workspace.tsx","React component files in strict mode should be PascalCase","DocumentObjectPageWorkspace.tsx"
"runtime-canvas/src/record/runtime-header-model.tsx","React component files in strict mode should be PascalCase","RuntimeHeaderModel.tsx"
"runtime-canvas/src/record/runtime-record-chrome.tsx","React component files in strict mode should be PascalCase","RuntimeRecordChrome.tsx"
"runtime-canvas/src/record/runtime-record-workspace.tsx","React component files in strict mode should be PascalCase","RuntimeRecordWorkspace.tsx"
"runtime-canvas/src/surfaces/audit-surface.tsx","React component files in strict mode should be PascalCase","AuditSurface.tsx"
"runtime-canvas/src/surfaces/document-child-tables-surface.tsx","React component files in strict mode should be PascalCase","DocumentChildTablesSurface.tsx"
"runtime-canvas/src/surfaces/fields-surface.tsx","React component files in strict mode should be PascalCase","FieldsSurface.tsx"
"runtime-canvas/src/surfaces/header-scope-pc-strip-surface.tsx","React component files in strict mode should be PascalCase","HeaderScopePcStripSurface.tsx"
"runtime-canvas/src/surfaces/lifecycle-surface.tsx","React component files in strict mode should be PascalCase","LifecycleSurface.tsx"
"runtime-canvas/src/surfaces/line-items-surface.tsx","React component files in strict mode should be PascalCase","LineItemsSurface.tsx"
"runtime-canvas/src/surfaces/polymorphic-pc-lines-surface.tsx","React component files in strict mode should be PascalCase","PolymorphicPcLinesSurface.tsx"
"runtime-canvas/src/surfaces/postings-preview-surface.tsx","React component files in strict mode should be PascalCase","PostingsPreviewSurface.tsx"
"runtime-canvas/src/surfaces/rich-summary-surface.tsx","React component files in strict mode should be PascalCase","RichSummarySurface.tsx"
"runtime-canvas/src/surfaces/surface-shell.tsx","React component files in strict mode should be PascalCase","SurfaceShell.tsx"
"runtime-canvas/src/temporal/useIsPostingDateDisabled.ts","TypeScript source filenames should be kebab-case","use-is-posting-date-disabled.ts"
"runtime-canvas/vitest.config.ts","TypeScript source filenames should be kebab-case","vitest.config.ts"
"runtime-contracts/vitest.config.ts","TypeScript source filenames should be kebab-case","vitest.config.ts"
"runtime-list/src/core/accessScope.ts","TypeScript source filenames should be kebab-case","access-scope.ts"
"runtime-list/src/core/lazyList.ts","TypeScript source filenames should be kebab-case","lazy-list.ts"
"runtime-list/src/core/listPresentation.ts","TypeScript source filenames should be kebab-case","list-presentation.ts"
"runtime-list/src/core/presenterProps.ts","TypeScript source filenames should be kebab-case","presenter-props.ts"
"runtime-list/src/core/tableChrome.ts","TypeScript source filenames should be kebab-case","table-chrome.ts"
"runtime-list/src/core/urlState.ts","TypeScript source filenames should be kebab-case","url-state.ts"
"runtime-list/src/islands/organize/organizeState.ts","TypeScript source filenames should be kebab-case","organize-state.ts"
"runtime-list/src/islands/organize/organizeUrl.ts","TypeScript source filenames should be kebab-case","organize-url.ts"
"runtime-list/src/islands/organize/paletteStyles.ts","TypeScript source filenames should be kebab-case","palette-styles.ts"
"runtime-list/src/islands/RuntimeListPaginationGate.tsx","Non-component TSX filenames in strict mode should be kebab-case","runtime-list-pagination-gate.tsx"
"runtime-list/src/__tests__/setup.ts","Use *.test.ts or *.test.tsx for files inside __tests__","setup.test.ts"
"runtime-list/vitest.config.ts","TypeScript source filenames should be kebab-case","vitest.config.ts"
"runtime-shared/src/edit/useBeforeUnload.ts","TypeScript source filenames should be kebab-case","use-before-unload.ts"
"runtime-shared/src/edit/useEditKeyboardShortcuts.ts","TypeScript source filenames should be kebab-case","use-edit-keyboard-shortcuts.ts"
"runtime-shared/src/edit/useEntityEdit.ts","TypeScript source filenames should be kebab-case","use-entity-edit.ts"
"runtime-shared/src/edit/useEntityEditState.ts","TypeScript source filenames should be kebab-case","use-entity-edit-state.ts"
"runtime-shared/src/entity-search/AdvancedEntityChooser.tsx","Non-component TSX filenames in strict mode should be kebab-case","advanced-entity-chooser.tsx"
"runtime-shared/src/entity-search/lookupConfig.ts","TypeScript source filenames should be kebab-case","lookup-config.ts"
"runtime-shared/src/entity-search/referenceLabelResolver.ts","TypeScript source filenames should be kebab-case","reference-label-resolver.ts"
"runtime-shared/src/entity-search/useEntitySearch.ts","TypeScript source filenames should be kebab-case","use-entity-search.ts"
"runtime-shared/src/preferences/context.tsx","React component files in strict mode should be PascalCase","Context.tsx"
"runtime-shared/src/preferences/useTemporalContext.ts","TypeScript source filenames should be kebab-case","use-temporal-context.ts"
"runtime-shared/src/resolvers/apply-client-source-change.test.ts","TypeScript source filenames should be kebab-case","apply-client-source-change.test.ts"
"runtime-shared/src/validation/metaFieldValidation.ts","TypeScript source filenames should be kebab-case","meta-field-validation.ts"
"shell-runtime/src/session-warning-dialog.tsx","React component files in strict mode should be PascalCase","SessionWarningDialog.tsx"
"theme/src/preset-validator.cli.ts","TypeScript source filenames should be kebab-case","preset-validator.cli.ts"
"theme/src/recordBadge.ts","TypeScript source filenames should be kebab-case","record-badge.ts"
"theme/src/semanticColors.ts","TypeScript source filenames should be kebab-case","semantic-colors.ts"
"theme/src/typography.generate.ts","TypeScript source filenames should be kebab-case","typography.generate.ts"
"ui/src/composites/FloatingSelectionBar/internals.tsx","React component files in strict mode should be PascalCase","Internals.tsx"
"ui/src/composites/FloatingSelectionBar/useInteractionModality.ts","TypeScript source filenames should be kebab-case","use-interaction-modality.ts"
"ui/src/surfaces/stack/useStackFrame.ts","TypeScript source filenames should be kebab-case","use-stack-frame.ts"
"ui/src/__tests__/setup.ts","Use *.test.ts or *.test.tsx for files inside __tests__","setup.test.ts"
"ui/vitest.config.ts","TypeScript source filenames should be kebab-case","vitest.config.ts"
"workflow-ui/src/utils/formatDate.ts","TypeScript source filenames should be kebab-case","format-date.ts"
"workflow-ui/src/utils/intentToBadgeVariant.ts","TypeScript source filenames should be kebab-case","intent-to-badge-variant.ts"
"workflow-ui/src/utils/stageIntent.ts","TypeScript source filenames should be kebab-case","stage-intent.ts"
"workflow-ui/src/utils/workflowStatusIcon.tsx","React component files in strict mode should be PascalCase","WorkflowStatusIcon.tsx"

